,rooms,age,direction,priceNum,priceLbl,area,location,gfa,cfa
0,2房,35 年,东南,618,万,沙田,伟华中心 4座 中层 E室,358,483
1,,28 年,西北,633.8,万,马鞍山,新港城 3期 Q座 低层 1室,369,498
2,3房,28 年,东北,720,万,马鞍山,新港城 3期 R座 低层 4室,503,674
3,1房,39 年,东北,510,万,沙田,好运中心 枫林阁 (C1座) 低层 H室,326,426
4,2房,5 年,,"1,010",万,元朗站,GRAND YOHO 2期 5座 高层 A室,535,
5,2房,39 年,西北,613.8,万,沙田,好运中心 榆林阁 (A2座) 8楼 H室,427,555
6,2房,36 年,东北,565,万,荃湾市中心,荃锦中心 1座 12楼 A室,369,511
7,2房,8 年,东南,560,万,元朗东南,尚悦 5座 2楼 H室,424,575
8,,32 年,,540,万,太子,乐兴大厦 4楼 B室,383,503
9,2房,23 年,西北,718,万,坑口,新宝城 2座 27楼 D室,434,603
10,3房,31 年,西南,632,万,粉岭,粉岭中心 1期 A座 8楼 3室,535,688
11,2房,24 年,西北,780,万,愉景新城,愉景新城 3期 12座 36楼 B室,477,593
12,2房,8 年,南,668,万,元朗东南,尚悦 2座 28楼 A室,435,570
13,2房,19 年,东,845,万,荃湾市中心,名逸居 3座 17楼 C室,530,703
14,,49 年,,507,万,坚尼地城,山市楼 12楼 D室,367,500
15,,28 年,西南,638,万,马鞍山,马鞍山中心 2座 24楼 G室,375,506
16,,37 年,,410,万,湾仔,文石大厦 16楼 B室,246,390
17,,39 年,,650,万,坚尼地城,锦兴大厦 2楼 A室,326,448
18,,28 年,,515,万,粉岭,粉岭名都 百利阁 (2座) 19楼 C室,376,502
19,3房,8 年,南,908,万,元朗东南,尚悦 11座 中层 K室,743,"1,013"
20,3房,33 年,西南,785,万,绿杨,怡景园 2座 中层 F室,545,708
21,3房,39 年,,826,万,绿杨,绿杨新邨 N座 高层 1室,582,671
22,,4 年,,350,万,马鞍山,荟朗 1座 中层 B01室,229,
23,3房,30 年,,990,万,沙田,新城市广场 3期 银桦阁 (4座) 低层 B室,583,688
24,3房,5 年,,"1,172",万,元朗站,GRAND YOHO 1期 2座 高层 B室,612,
25,1房,44 年,,408,万,柴湾,金源洋楼 C座 19楼 4室,260,351
26,2房,25 年,东北,750,万,愉景新城,愉景新城 1期 2座 41楼 F室,495,610
27,,22 年,,600,万,坑口,南丰广场 3座 20楼 F室,400,549
28,3房,11 年,南,"1,180",万,元朗站,YOHO TOWN 2期 YOHO MIDTOWN 5座 30楼 F室,615,803
29,2房,8 年,东,516.8,万,元朗东南,尚悦 3座 1楼 E室,355,492
30,,51 年,,460,万,粉岭,和泰街41-53号 四楼 41号(A室),799,
31,,28 年,西南,631,万,马鞍山,马鞍山中心 4座 17楼 G室,381,516
32,2房,13 年,西南,765,万,大角咀,I-HOME 7楼 A室,519,705
33,1房,4 年,,598,万,马鞍山,荟晴 1座 11楼 B03室,337,
34,,26 年,,"1,038",万,坚尼地城,翰林轩 1座 31楼 C室,464,627
35,2房,18 年,西北,750,万,元朗站,YOHO TOWN 1期 2座 12楼 D室,433,580
36,2房,39 年,西北,662.8,万,绿杨,绿杨新邨 Q座 3楼 3室,451,527
37,,35 年,东南,688,万,坚尼地城,羲皇台一号 2座 4楼 B室,540,587
38,2房,23 年,东北,788,万,坑口,海悦豪园 1座 47楼 D室,432,598
39,2房,23 年,,675,万,坑口,新宝城 5座 18楼 F室,378,528
40,,28 年,,"1,030",万,元朗站,新元朗中心 5座 6楼 A室,870,"1,018"
41,2房,18 年,,664,万,太子,别树华轩 6楼 E室,415,606
42,,64 年,,"1,500",万,跑马地,愉苑 十二楼 10号,926,"1,150"
43,3房,1 年,,"2,149.59",万,启德新区,尚‧珒溋 2座 23楼 A室,752,
44,,51 年,,450,万,荃湾市中心,二陂坊8A号 八楼 A室(1室),614,
45,,27 年,东,650,万,马鞍山,新港城 4期 E座 27楼 6室,338,461
46,3房,36 年,,830,万,坚尼地城,嘉辉花园 C座 十四楼 4室,457,615
47,3房,30 年,东,920,万,沙田,新城市广场 3期 红棉阁 (5座) 12楼 B室,583,688
48,,28 年,,338,万,太子,大南花园 3楼 A室,216,350
49,,27 年,西,995,万,马鞍山,海柏花园 2座 16楼 F室,550,739
50,,22 年,东北,738,万,坑口,南丰广场 3座 20楼 G室,400,549
51,2房,38 年,东南,573,万,绿杨,绿杨新邨 S座 中层 7室,445,519
52,1房,40 年,西南,515,万,沙田,沙田中心 唐宁大厦 (D座) 低层 D室,301,377
53,3房,28 年,西北,762,万,粉岭,蔚翠花园 4座 低层 H室,716,826
54,2房,20 年,东北,712,万,元朗站,采叶庭 13座 高层 F室,509,673
55,,25 年,北,960,万,马鞍山,新港城 5期 海涛居 4座 17楼 D室,626,794
56,,44 年,,468,万,坚尼地城,隆基大楼 4楼 A室,297,
57,,44 年,,400,万,柴湾,富安阁 七楼 A室,325,388
58,,34 年,,638,万,深水埗,太子中心 1座 14楼 L室,440,593
59,2房,34 年,西北,545,万,荃湾市中心,荃昌中心 昌宁大厦 8楼 E室,368,470
60,4房,3 年,,"8,058",万,启德新区,嘉汇 9座 37楼 B室,"1,975",
61,2房,38 年,西北,656.8,万,绿杨,绿杨新邨 H座 10楼 2室,445,511
62,,30 年,,742,万,坚尼地城,盈基花园 太白阁 (2座) 17楼 B室,377,506
63,,44 年,,482,万,柴湾,富安阁 五楼 F室,322,383
64,,38 年,,390,万,元朗市中心,光华中心 13楼 D室,451,515
65,2房,23 年,,718,万,坑口,海悦豪园 2座 低层 E室,432,598
66,,31 年,,566,万,坚尼地城,青莲阁 5楼 D室,324,412
67,,26 年,,575,万,坚尼地城,翠荷苑 11楼 D室,330,491
68,,22 年,东北,860,万,坑口,南丰广场 5座 21楼 B室,608,809
69,,22 年,,"1,600",万,坚尼地城,高逸华轩 50楼 H室,714,948
70,2房,22 年,东南,555,万,粉岭,牵晴间 9座 6楼 D室,385,522
71,2房,21 年,西北,640,万,元朗东南,朗怡居 3座 2楼 A室,552,697
72,2房,8 年,东北,530,万,元朗东南,尚悦 2座 19楼 E室,356,493
73,2房,25 年,西南,743.8,万,愉景新城,愉景新城 1期 4座 17楼 B室,474,593
74,,57 年,,390,万,深水埗,恒顺大楼 六楼 C室 (33B号),389,
75,,40 年,西北,330,万,元朗市中心,宏发大厦 10楼 A室,269,351
76,,31 年,,473,万,坚尼地城,青莲阁 1楼 A室,324,412
77,2房,8 年,西南,602,万,元朗东南,尚悦 13座 22楼 C室,424,575
78,2房,25 年,西北,740,万,愉景新城,愉景新城 1期 1座 35楼 B室,474,593
79,,33 年,,250,万,坚尼地城,怡景苑 3楼 C室,119,139
80,,24 年,东北,660,万,元朗东南,朗晴居 6座 5楼 A室,573,682
81,1房,39 年,西北,490,万,沙田,好运中心 柏林阁 (C2座) 1楼 E室,348,438
82,3房,24 年,西北,885,万,坑口,东港城 7座 30楼 E室,619,790
83,,22 年,西南,715,万,坑口,南丰广场 2座 36楼 D室,450,618
84,2房,8 年,西南,635,万,元朗东南,尚悦 12座 20楼 G室,443,602
85,2房,22 年,东北,528,万,粉岭,牵晴间 7座 4楼 H室,384,522
86,,55 年,,608,万,湾仔,国梁楼 三楼 352号,598,
87,,55 年,,760,万,湾仔,友谊大厦 十一楼 345号,674,680
88,,28 年,西北,516.8,万,粉岭,碧湖花园 7座 1楼 D室,400,515
89,2房,21 年,,745,万,马鞍山,迎涛湾 2座 (B座) 33楼 D室,506,683
90,2房,3 年,东,"1,130",万,启德新区,OASIS KAI TAK 2座 12楼 E室,451,
91,,28 年,东,637,万,马鞍山,马鞍山中心 3座 20楼 F室,381,516
92,2房,23 年,西南,650,万,坑口,新宝城 1座 4楼 F室,377,527
93,2房,20 年,东北,685,万,元朗站,采叶庭 15座 2楼 F室,509,673
94,,64 年,,"1,500",万,铜锣湾,唐宁大厦 三楼 A室(NO. 56),,"1,100"
95,3房,5 年,东,"1,165",万,元朗站,GRAND YOHO 1期 10座 11楼 B室,778,
96,,22 年,东北,620,万,坑口,南丰广场 3座 3楼 G室,400,549
97,1房,40 年,西南,560,万,沙田,沙田中心 东宁大厦 (A座) 14楼 F室,297,371
98,,33 年,,804.8,万,坚尼地城,再辉大厦 9楼 F室,579,759
99,3房,20 年,东南,858,万,元朗站,采叶庭 2座 15楼 F室,617,814
100,1房,4 年,东南,855,万,启德新区,启德1号 I 大厦第2座 高层 H室,376,
101,3房,27 年,,"1,178",万,沙田,晓翠山庄 13座 10楼 A室,817,978
102,2房,18 年,西南,750,万,元朗站,YOHO TOWN 1期 6座 21楼 A室,422,545
103,3房,24 年,西北,982,万,愉景新城,愉景新城 3期 10座 40楼 A室,658,822
104,2房,17 年,西北,870,万,坑口,蔚蓝湾畔 1座 21楼 A室,488,661
105,3房,11 年,,"1,026",万,元朗站,YOHO TOWN 2期 YOHO MIDTOWN 2座 32楼 E室,608,795
106,1房,6 年,,800,万,铜锣湾,yoo Residence 25楼 G室,355,486
107,,22 年,西北,720,万,坑口,南丰广场 3座 15楼 H室,466,633
108,,28 年,东,590,万,马鞍山,马鞍山中心 2座 6楼 F室,375,506
109,2房,20 年,,480,万,元朗市中心,丰裕轩 15楼 B室,370,570
110,,40 年,,392,万,元朗市中心,金马大厦 二楼 A室,296,375
111,,25 年,南,755,万,马鞍山,新港城 5期 海涛居 3座 31楼 H室,465,586
112,2房,20 年,东南,627.5,万,元朗站,采叶庭 10座 11楼 A室,460,609
113,3房,24 年,西北,950,万,愉景新城,愉景新城 3期 11座 27楼 H室,658,822
114,,56 年,,466,万,荃湾市中心,华达楼 四楼 A室(NO. 32),521,
115,2房,8 年,北,603.8,万,元朗东南,尚悦 2座 9楼 J室,411,556
116,2房,33 年,东北,532.8,万,荃湾市中心,华都中心 21楼 5室,339,470
117,2房,25 年,东南,735,万,愉景新城,愉景新城 1期 3座 12楼 F室,495,610
118,2房,3 年,,"1,295",万,启德新区,OASIS KAI TAK 5座 20楼 C室,508,
119,2房,38 年,东南,698,万,绿杨,绿杨新邨 S座 26楼 1室,475,555
120,,31 年,,438,万,坚尼地城,青莲阁 2楼 A室,324,412
