,rooms,age,direction,priceNum,priceLbl,area,location,gfa,cfa
74,1房,44 年,,390,万,柴湾,金源洋楼 A座 15楼 1室,260,351
75,,35 年,,420,万,太子,嘉运阁 5楼 B室,290,417
76,,37 年,东南,398,万,元朗市中心,玉龙楼 17楼 B室,288,395
77,3房,38 年,西南,758,万,绿杨,绿杨新邨 H座 2楼 4室,582,667
78,3房,23 年,东北,829,万,坑口,新宝城 6座 11楼 B室,562,774
79,,27 年,西北,818,万,马鞍山,新港城 4期 H座 17楼 1室,519,697
80,,37 年,东北,410,万,元朗市中心,玉龙楼 18楼 A室,288,395
81,,26 年,,980,万,坚尼地城,翰林轩 2座 8楼 C室,464,627
82,2房,13 年,西南,800,万,大角咀,I-HOME 16楼 A室,519,705
83,4房,5 年,,"2,095.7",万,元朗站,GRAND YOHO 2期 5座 12楼 C室,"1,186",
84,,63 年,,720,万,铜锣湾,华尔大厦 二楼 E室,703,900
85,3房,18 年,西南,990,万,元朗站,YOHO TOWN 1期 6座 26楼 B室,637,821
86,,55 年,,500,万,坚尼地城,同兴楼 四楼 I室,410,
87,,2 年,,400,万,太子,逸新 17楼 B室,182,
88,2房,20 年,东北,590,万,元朗站,采叶庭 16座 2楼 E室,460,609
89,,27 年,东,956.8,万,马鞍山,海柏花园 1座 23楼 A室,582,783
90,2房,8 年,西,510,万,元朗东南,尚悦 7座 1楼 E室,356,498
91,2房,5 年,,938,万,元朗站,GRAND YOHO 2期 3座 16楼 A室,536,
92,3房,38 年,,834,万,绿杨,绿杨新邨 P座 11楼 8室,582,671
93,,2 年,,398.8,万,太子,逸新 20楼 E室,182,
94,1房,40 年,东北,538,万,沙田,沙田中心 海宁大厦 (B座) 6楼 C室,310,385
95,2房,24 年,,835,万,坑口,东港城 6座 35楼 E室,524,666
96,3房,30 年,,"1,569",万,沙田,新城市广场 3期 海桐阁 (1座) 15楼 A室,876,"1,020"
97,,57 年,,"1,858",万,跑马地,翠谷楼 14楼 C室,847,"1,200"
98,,24 年,西南,730,万,马鞍山,雅涛居 1座 40楼 E室,501,711
99,2房,10 年,,655,万,元朗站,尚豪庭 1座 5楼 A室,515,670
100,2房,34 年,东北,538,万,荃湾市中心,荃昌中心 昌宁大厦 11楼 C室,316,403
101,2房,39 年,,692,万,沙田,好运中心 松林阁 (A1座) 20楼 C室,443,571
102,,43 年,,650,万,铜锣湾,骆克大厦 A座 3楼 A3室,447,536
103,,24 年,西南,668,万,元朗东南,朗晴居 15座 8楼 C室,600,726
104,3房,11 年,南,935,万,元朗站,YOHO TOWN 2期 YOHO MIDTOWN 2座 7楼 C室,606,792
105,,51 年,,470,万,深水埗,长兴楼 十二楼 A室,483,
106,2房,36 年,西北,530,万,荃湾市中心,荃锦中心 2座 13楼 G室,378,534
107,2房,17 年,,"1,146.8",万,坚尼地城,泓都 3座 43楼 A室,482,629
108,2房,23 年,东南,639,万,坑口,新宝城 5座 17楼 G室,377,527
109,3房,5 年,,"1,502.1",万,元朗站,GRAND YOHO 2期 5座 17楼 D室,788,
110,3房,1 年,西北,"1,715.41",万,启德新区,尚‧珒溋 1座 23楼 D室,657,
111,,45 年,,582.75,万,太子,永基楼 二楼 13号(A室),379,
112,,45 年,,595,万,太子,永基楼 二楼 13A号(C室),306,
113,,45 年,,630.3,万,太子,永基楼 三楼 15号(B室),382,
114,,45 年,,500,万,太子,永基楼 四楼 13A号(C室),306,
115,,45 年,,625.35,万,太子,永基楼 五楼 13号(A室),379,
116,2房,17 年,东南,863.8,万,坑口,蔚蓝湾畔 5座 52楼 G室,490,657
117,2房,20 年,东北,676,万,元朗站,采叶庭 16座 6楼 F室,509,674
118,,44 年,,535,万,坚尼地城,桃李园 地下 A室,371,520
119,2房,23 年,,685,万,坑口,新宝城 3座 41楼 B室,378,528
120,2房,8 年,,596,万,元朗东南,尚悦 11座 23楼 H室,426,577
121,,61 年,,640,万,铜锣湾,百德大厦 B座 3楼 B5室,498,
122,1房,4 年,西北,780,万,启德新区,启德1号 I 大厦第2座 3楼 D室,371,
123,2房,24 年,东北,800,万,坑口,东港城 3座 20楼 E室,524,666
124,,32 年,,710,万,坚尼地城,顺兴大厦 2楼 A室,368,501
125,3房,1 年,,"1,698.63",万,启德新区,尚‧珒溋 1座 29楼 E室,657,
126,2房,22 年,东北,533,万,粉岭,牵晴间 6座 5楼 H室,384,522
127,2房,24 年,,728,万,坑口,东港城 2座 38楼 F室,463,588
128,2房,36 年,西南,655,万,沙田,希尔顿中心 D座 二十一楼 6室,412,659
129,2房,3 年,北,"1,097",万,启德新区,嘉汇 1座 11楼 B室,503,
130,,24 年,东北,750,万,马鞍山,雅景台 2座 1楼 E室,606,815
131,3房,7 年,,"2,100",万,坚尼地城,加多近山 43楼 E室,731,956
132,,54 年,,428,万,荃湾市中心,思源楼 六楼 251号,547,
133,3房,24 年,,913,万,愉景新城,愉景新城 3期 9座 29楼 D室,602,748
134,,33 年,西南,400,万,元朗市中心,昌威大厦 10楼 A室,318,374
135,,27 年,,638,万,马鞍山,新港城 4期 F座 31楼 2室,338,464
136,,24 年,东南,810,万,马鞍山,雅景台 3座 11楼 C室,656,879
137,2房,10 年,,707,万,元朗站,尚豪庭 3座 26楼 F室,507,656
138,2房,20 年,,688,万,元朗站,采叶庭 12座 15楼 F室,509,674
139,,29 年,西北,438,万,元朗市中心,建辉大厦 8楼 H室,321,418
140,,44 年,,330,万,深水埗,福昇大厦 9楼 A室,205,262
141,2房,24 年,东北,733,万,坑口,东港城 2座 22楼 G室,463,595
142,2房,25 年,,750,万,愉景新城,愉景新城 1期 2座 35楼 G室,495,610
143,,61 年,,446,万,太子,柏树街1号 五楼 1号,611,
144,2房,25 年,东北,738,万,愉景新城,愉景新城 1期 3座 20楼 C室,495,610
145,,43 年,,423,万,柴湾,雅丽阁 二楼 G室,314,350
146,4房,37 年,,"5,600",万,跑马地,云晖大厦 A座 4楼 2室,"1,953","2,468"
147,,77 年,,1.68,亿,九龙塘,金巴伦道3号 3号,"3,391",
148,,22 年,,950,万,柴湾,湾景园 30楼 C室,624,847
149,,28 年,,600,万,马鞍山,新港城 3期 R座 25楼 1室,369,496
150,,35 年,,603,万,坚尼地城,羲皇台一号 8座 4楼 C室,476,518
151,1房,6 年,,908,万,坚尼地城,浚峰 41楼 B室,324,
152,4房,33 年,东北,"3,750",万,跑马地,比华利山 A座 24楼 2室,"1,432","1,729"
153,2房,5 年,,956.8,万,元朗站,GRAND YOHO 1期 10座 13楼 F室,592,
154,,27 年,东北,595,万,马鞍山,新港城 4期 H座 5楼 3室,338,464
155,2房,24 年,东北,732,万,坑口,东港城 7座 10楼 G室,463,595
156,2房,34 年,,712,万,柴湾,新翠花园 6座 20楼 D室,470,563
157,,24 年,东北,723,万,马鞍山,雅景台 2座 9楼 E室,606,815
158,2房,8 年,南,615,万,元朗东南,尚悦 13座 28楼 C室,424,575
159,,28 年,,488,万,粉岭,粉岭名都 怡景阁 (5座) 1楼 C室,376,502
160,2房,8 年,,515,万,元朗东南,尚悦 12座 18楼 E室,356,492
161,2房,21 年,,950,万,坚尼地城,加惠台 2座 31楼 B室,464,588
162,,31 年,,560,万,坚尼地城,青莲阁 4楼 E室,352,445
163,,28 年,东,579,万,马鞍山,马鞍山中心 3座 22楼 C室,375,506
164,1房,10 年,,554,万,元朗站,尚豪庭 3座 9楼 E室,353,461
165,2房,28 年,,532,万,粉岭,碧湖花园 5座 27楼 G室,400,518
166,,29 年,东,790,万,马鞍山,新港城 2期 C座 26楼 5室,513,634
167,2房,22 年,,600,万,荃湾市中心,康睦庭园 1座 11楼 C室,455,595
168,2房,21 年,东南,698,万,马鞍山,迎涛湾 2座 (B座) 21楼 F室,487,664
169,,55 年,,463.8,万,大角咀,庆年大楼 6楼 F室,412,
170,1房,4 年,,563,万,马鞍山,荟朗 2座 26楼 A07室,296,
171,2房,25 年,,725,万,愉景新城,愉景新城 1期 4座 26楼 B室,474,593
172,,26 年,,800,万,坚尼地城,慧华阁 15楼 A室,453,659
173,,50 年,,535,万,坚尼地城,联康新楼 8楼 10室,391,470
174,,22 年,东北,965,万,坑口,南丰广场 3座 30楼 A室,688,918
175,2房,36 年,东北,607,万,荃湾市中心,荃锦中心 2座 17楼 B室,378,524
176,,37 年,,388,万,湾仔,文石大厦 17楼 B室,246,390
177,,28 年,,500,万,粉岭,碧湖花园 7座 18楼 C室,400,518
178,,48 年,,550,万,荃湾市中心,周氏大厦 14楼 2室,439,600
179,,28 年,,543,万,粉岭,碧湖花园 2座 10楼 C室,441,568
180,,4 年,,403,万,马鞍山,荟晴 2座 3楼 B02室,227,
181,2房,8 年,东北,595,万,元朗东南,尚悦 6座 18楼 H室,439,596
182,,24 年,东南,800,万,马鞍山,雅景台 1座 3楼 C室,656,871
183,,25 年,西北,"1,438",万,马鞍山,新港城 5期 海涛居 1座 15楼 A室,932,"1,223"
184,2房,24 年,,720,万,坑口,东港城 7座 16楼 C室,463,588
185,2房,4 年,东北,"1,090",万,启德新区,启德1号 I 大厦第2座 20楼 B室,516,
186,,22 年,西南,976,万,坑口,南丰广场 5座 31楼 D室,691,918
187,2房,11 年,北,730,万,元朗站,YOHO TOWN 2期 YOHO MIDTOWN 2座 32楼 G室,443,573
188,,50 年,,"1,200",万,湾仔,愉景楼 二十二楼 F室,616,800
189,2房,25 年,东南,716,万,愉景新城,愉景新城 1期 3座 2楼 F室,495,610
190,2房,22 年,东南,592,万,粉岭,牵晴间 9座 26楼 C室,428,587
191,,50 年,南,798,万,铜锣湾,怡安大厦 27楼 D室,465,550
192,2房,14 年,东北,886,万,湾仔,骏逸峰 18楼 B室,422,649
193,2房,8 年,,593,万,元朗东南,尚悦 12座 18楼 J室,440,596
194,3房,33 年,北,"2,050",万,何文田,嘉爵园 15楼 B室,994,"1,236"
195,2房,8 年,,596,万,元朗东南,尚悦 3座 20楼 B室,440,598
196,3房,20 年,西南,838,万,元朗站,采叶庭 16座 10楼 B室,693,911
197,,22 年,东北,648,万,坑口,南丰广场 5座 23楼 G室,375,511
198,,28 年,东南,510,万,粉岭,碧湖花园 5座 3楼 E室,400,515
199,1房,3 年,,790,万,启德新区,嘉汇 6座,358,
200,2房,23 年,,663.8,万,坑口,新宝城 3座 5楼 A室,436,604
201,,40 年,,400,万,太子,华丽阁 1楼 B室,296,478
202,2房,8 年,北,595,万,元朗东南,尚悦 12座 26楼 J室,440,596
203,,27 年,北,925,万,马鞍山,雅典居 2座 3楼 A室,727,901
204,3房,22 年,东北,925,万,粉岭,牵晴间 8座 14楼 B室,714,978
205,3房,33 年,,"2,739",万,跑马地,比华利山 G座 15楼 1室,"1,057","1,357"
206,3房,33 年,,"2,908",万,跑马地,乐翠台 A座 12楼 4室,"1,147","1,340"
207,2房,11 年,,860,万,元朗站,YOHO TOWN 2期 YOHO MIDTOWN 5座 30楼 E室,507,653
208,2房,8 年,,592,万,元朗东南,尚悦 1座 23楼 K室,435,569
209,3房,21 年,东北,730,万,元朗东南,朗怡居 1座 11楼 G室,665,846
210,2房,21 年,东南,690,万,马鞍山,迎涛湾 1座 (A座) 8楼 G室,515,689
211,,44 年,,637,万,铜锣湾,乐声大厦 A座 二十一楼 5室,343,403
212,1房,44 年,,378,万,柴湾,金源洋楼 B座 6楼 7室,245,365
